Acct,Vendor,Material,Material_Description,Image,ImageNum
268,Saroj Fabrics,Brocade,Green Seagreen gold zari and white thread floral motif ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.46.47PM_16.jpg?v=1614745002,1
,,,,,
269,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.46.47PM_15.jpg?v=1614745002,2
,,,,,
270,Saroj Fabrics,Brocade,Taupe beige banarasi silk with silver and gold animal motif,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_3.jpg?v=1614744930,1
,,,,,
271,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.46PM.jpg?v=1614744930,2
,,,,,
272,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_2.jpg?v=1614744930,3
,,,,,
273,Saroj Fabrics,Brocade,Tan brown banarasi silk with gold zari bhutta,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.29PM_1.jpg?v=1614744675,1
,,,,,
274,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.29PM.jpg?v=1614744675,2
,,,,,
275,Saroj Fabrics,Brocade,Sunshine yellow with geometric with mutted and bright zari gold brocade ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.52PM_1.jpg?v=1614744580,1
,,,,,
276,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.52PM.jpg?v=1614744580,2
,,,,,
277,Saroj Fabrics,Brocade,Dark Green with geometric with muted and bright zari gold brocade,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.52PM_4.jpg?v=1614744532,1
,,,,,
278,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.52PM_3.jpg?v=1614744532,2
,,,,,
279,Saroj Fabrics,Brocade,Marron red with geometric with muted and bright zari gold brocade,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.53PM_5.jpg?v=1614744390,1
,,,,,
280,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.53PM_4.jpg?v=1614744390,2
,,,,,
281,Saroj Fabrics,Brocade,Royal blue with geometric with muted and bright zari gold brocade,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.53PM_2.jpg?v=1614744341,1
,,,,,
